Cell Number,Frame,Area,Perimeter,Extent,Solidity,Compactness,Elongation,Circularity,Convexity,Centroid_X,Centroid_Y,Centroid_Distance
1,0,19791.0,1305.303607231218,0.5128264925373134,0.745676500508647,0.23086037301992285,0.9364703178726971,0.14596694763353135,0.9798766896956898,502.623414683442,87.9063715830428,0.0
1,22,15973.0,1015.605122421383,0.676449413458688,0.8062285483545326,0.27631399081706903,0.9123202949928263,0.1946016823000954,0.9730819627921594,497.328366618669,97.28122456645589,10.76686595388209
1,26,24764.0,1642.3158005400378,0.5541532402434658,0.796423747346755,0.21965015508639474,0.9444563311134466,0.11537648848641512,0.983562873581425,506.7312631238895,97.59933774834437,9.408276073988212
2,0,20178.0,740.9188309203678,0.6222400394720612,0.8273741184188945,0.6126056858455997,0.5509632763858447,0.46189867468514284,0.9075670889722506,1924.7693527604322,141.59525225493113,0.0
2,1,20663.0,694.0904037956217,0.6206782613919678,0.8493854564886751,0.6147915798423919,0.5543149212398645,0.5389781502396211,0.9676646524780659,1926.1658036103179,143.3637419542177,2.2533598897267066
2,2,19913.0,695.0193359837562,0.6428525309917356,0.8317878028404344,0.6046850835623386,0.5680896739055717,0.5180274619676705,0.9544518324994861,1925.129513383217,140.89298448249886,2.6792797388177125
2,3,18146.0,750.8183258569795,0.6054317362872014,0.8060231866032959,0.5979379348501129,0.5628909744013635,0.4045023434665782,0.8633125792606798,1926.2941695139425,145.89127080348285,5.13218180205769
2,4,20733.0,885.144227664784,0.6208228530362918,0.7900091449474166,0.6246013601430295,0.5064642336018621,0.33254002773828834,0.7753911957180105,1922.6592871268026,150.90425891091496,6.192125623208526
2,5,17514.0,668.7766952966368,0.6479946721918011,0.863950276243094,0.5968045465412437,0.6123240028293462,0.4920768654137915,0.943117585523194,1921.0109626584447,141.1374329108142,9.90494137636522
2,6,19168.0,725.303607231218,0.6143589743589744,0.8347704903754029,0.6046029339143222,0.5628460370491106,0.45787506144083145,0.9073309351530253,1922.9576377295493,145.32507303839733,4.617994550733561
2,7,19780.0,758.859956417322,0.6018011439698187,0.8062280916279448,0.5958120279897935,0.5658585865854011,0.4316312482372053,0.8985159307922695,1923.8643073811932,143.64924165824064,1.9053767795189025
2,8,20539.0,744.9604614807105,0.6089599146110057,0.8158814650035752,0.6111366804055857,0.5405156424882293,0.4650746975090728,0.917830261391132,1923.1097424412094,145.58191732801012,2.074753839175051
2,11,21433.0,773.445742854949,0.5628413865546219,0.7825975827947567,0.5785030456731932,0.5871541542231088,0.4502286433906173,0.948099605618841,1918.9406522651984,140.22614659637009,6.787163842548904
2,12,22370.0,860.9015869776648,0.5628522544283414,0.7869556040244846,0.5853920727267198,0.559783226550236,0.3792877630800252,0.8724121021890204,1925.7285650424676,141.33804202056325,6.8783770837426434
2,13,22964.0,911.9726547895302,0.6040614478114478,0.7965590204308162,0.6308328795724545,0.4954278943702274,0.3469714727791166,0.7933858990413047,1924.1020292631945,144.37341055565233,3.443701610921662
2,14,20309.0,744.0315292925759,0.5917540792540793,0.8133360032038446,0.6345108317227764,0.5061238655086568,0.46101570905227,0.9076276705779208,1928.8256930424934,140.23954896843765,6.277086196804196
