Cell Number,Frame,Area,Perimeter,Extent,Solidity,Compactness,Elongation,Circularity,Convexity,Centroid_X,Centroid_Y,Centroid_Distance
1,0,19221.0,1319.688383542068,0.7360137851809305,0.49396073190789475,0.138689331559794,0.9758856868034529,0.9383135971412624,0.22623756396312011,506.38374694344725,88.00962488944384,0.0
1,22,15870.0,992.048773235279,0.8158963549431906,0.6444931773879142,0.20263793075024888,0.9816285257552286,0.9080140865340891,0.2857445148364773,514.9831758034027,97.38342785129174,12.72078451531126
1,26,23669.0,1603.2447327281723,0.7964801292189656,0.5632793907663017,0.11571512534954803,0.9811840799207406,0.9451928485624175,0.2174431792908922,505.42350754151,97.80446998183278,9.568935873603124
2,0,19719.0,728.6761902332485,0.8250627615062761,0.6172990232907588,0.46668688136611947,0.9189337167858739,0.5627331322151472,0.6038993182635668,1924.0205892793751,141.25168619098332,0.0
2,1,20319.0,693.6051224213829,0.8425526621330237,0.6118337850045167,0.5307470765512825,0.9729142712007427,0.5699251447395661,0.6020879866249119,1924.333874698558,143.2532112800827,2.025894971652491
2,2,19453.0,691.3624817342638,0.8306148590947908,0.6406177962194559,0.511428392824076,0.9542109121789647,0.574387696637142,0.5991929653236354,1924.4361281036345,140.81134015318975,2.4440111209246096
2,3,17590.0,746.5756851698602,0.7977324263038549,0.5940560621411686,0.3965774541378681,0.8636454477711871,0.5738637679139105,0.5892457827493365,1924.902274019329,145.14172825469018,4.355405047103573
2,4,20011.0,889.5229073212245,0.7775791723333981,0.6061735126620623,0.3178076761002566,0.7677360771642242,0.5158354744635256,0.6137258880402501,1921.5811303782918,150.21133376642845,6.060601878448136
2,5,17235.0,636.1492782986674,0.9151003504300733,0.7211297071129708,0.5351839420348927,0.9830707117358335,0.6367105765449745,0.5829126568972466,1917.4906295329272,140.64200754279082,10.406930457167851
2,6,18674.0,724.4751801064718,0.8222809335094672,0.6031653746770026,0.4470953937007264,0.9064164033085492,0.5747461164071841,0.5966462053450426,1921.784245474992,144.87742315518904,6.031076460110608
2,7,19164.0,742.9604614807104,0.79601246105919,0.5922675155298699,0.4362793140299561,0.9104569913125511,0.5758644614433713,0.5898276370368776,1923.1786161552911,142.9547589229806,2.3750594400754084
2,8,20006.0,737.5462479183374,0.8138806395183271,0.6069045018808397,0.4621592103745384,0.9177984835552978,0.5464358998667709,0.6071241794099105,1922.5654803558932,145.43182045386385,2.551816869660711
2,11,20775.0,761.7888886054566,0.7794327305470098,0.5576881778159561,0.44986440233908825,0.9487114189191537,0.5881777573979281,0.5795416676589539,1919.358844765343,139.92707581227438,6.370614207412882
2,12,21529.0,808.1736649163068,0.786189015483494,0.5636158961202157,0.41421357974638,0.9092331938524947,0.5600271089427314,0.5873187307673704,1926.6799201077615,140.64935668168516,7.356618368767288
2,13,22488.0,913.6295090390225,0.7853326348873756,0.5867863479803779,0.3385481618049164,0.7978731540829669,0.5172851375893603,0.6130708035642797,1922.4126200640342,143.78023834934186,5.292661870936416
2,14,19912.0,748.7178207935912,0.8015135048102081,0.5794436037713887,0.44636322547314716,0.9054003683103179,0.5228462751106157,0.6220765054751587,1927.3734933708317,139.81277621534753,6.352245252725644
2,15,18187.0,645.3208511739211,0.9220746298925168,0.6765997023809524,0.5488068644785592,0.9939572739491948,0.6001006191663354,0.6013446945848914,1926.5302138890415,132.87216143399132,6.991656014678394
2,16,19882.0,786.4102089490162,0.8210274198876776,0.6211766176148967,0.4039909608065916,0.8205687008976327,0.4219245685000822,0.6888038840500026,1934.4014686651242,143.01845890755456,12.841495402484856
2,17,18389.0,723.2741699796952,0.8279976586068711,0.5940366972477065,0.44173525894229887,0.8611671454381885,0.44182797523606865,0.6849369957645582,1937.6199358312035,137.9515471205612,6.002676566024775
2,18,21678.0,907.8305191657993,0.7627190204770952,0.559634448574969,0.3305365720065086,0.8073758728394947,0.5280308618225299,0.6003160642234935,1924.4982009410462,141.34283605498663,13.552887779522422
2,19,18556.0,696.8183258569795,0.7953707672524646,0.5704974481952899,0.480236428202269,0.9446257527615068,0.5368588994402543,0.6222726600821827,1931.4396960551844,136.87632032765683,8.254339292886446
2,20,20711.0,869.0437226013956,0.7955977258758451,0.6084312573443008,0.34460984382682947,0.750054912687403,0.36980638984835124,0.7085957643532902,1933.3872821206123,143.2709671189223,6.684653997574653
2,21,19070.0,681.3624817342638,0.8301771799225109,0.5984998273859963,0.5161835081689353,0.9903343827070852,0.5690833254444443,0.6013192657002981,1928.9616675406398,134.8858416360776,9.481370880495954
2,22,18273.0,649.8061325481598,0.8923670459539972,0.659627463721031,0.5438161574570625,0.9961753458438131,0.5967550690248096,0.5966657540466129,1926.9364089093197,134.09128221966836,2.175545262673591
2,23,20139.0,873.3868683519032,0.7758600762800015,0.5901019690576652,0.3317679659599209,0.7652675988129319,0.45742457608986886,0.6498231839878421,1929.5249019315756,141.90426535577734,8.230613683765707
2,24,17658.0,623.6639969244288,0.9344340371487537,0.6825139146567718,0.5704926179812895,0.9986716742070862,0.581897660596953,0.6149787890607588,1931.149677200136,132.50294484086533,9.540687716167579
2,25,17779.0,736.9604614807105,0.8049531398560239,0.5782728899007968,0.41136640134455127,0.8461054250444188,0.47275120885329247,0.6631160030068058,1936.0949997187693,136.50104055346196,6.3593226164729755
2,26,18620.0,749.303607231218,0.7858529585549084,0.5598652955679836,0.4167483547428426,0.8913468250486708,0.5606522258527613,0.5987654322300437,1925.9652524167561,139.94849624060151,10.700314533574849
